PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
87527;87527;87527;64832;;;;;;;;
54550;54550;54550;64653;;;;;;;;
91719;91719;91719;64521;;;;;;;;
64289;64289;64289;61440;;;;;;;;
34225;34225;34225;60388;;;;;;;;
Waltenhofen;87448;87448;65201;;;;;;;;
Frankfurt;Keine Angabe;;69483;;;;;;;;
34497;34497;34497;69190;;;;;;;;
64283;64283;64283;60546;;;;;;;;
35116;35116;35116;35578;;;;;;;;
34587;34587;34587;52070;;;;;;;;
64560;64560;64560;64404;;;;;;;;
60486;60486;60486;35614;;;;;;;;
34225;34225;34225;36039;;;;;;;;
Waltenhofen;87448;87448;58509;;;;;;;;
50670;50670;50670;76133;;;;;;;;
Frankfurt;Keine Angabe;;68163;;;;;;;;
36163;36163;36163;72622;;;;;;;;
;Keine Angabe;;70771;;;;;;;;
;Keine Angabe;;64579;;;;;;;;
65428;65428;65428;36037;;;;;;;;
40667;40667;40667;68623;;;;;;;;
65760;65760;65760;35683;;;;;;;;
61476;61476;61476;67454;;;;;;;;
35066;35066;35066;22085;;;;;;;;
35287;35287;35287;64291;;;;;;;;
Kassel;34117;34117;64390;;;;;;;;
34302;34302;34302;3895;;;;;;;;
80809;80809;80809;60433;;;;;;;;
34121;34121;34121;65934;;;;;;;;
57316;57316;57316;53229;;;;;;;;
Waltenhofen;87448;87448;60314;;;;;;;;
35116;35116;35116;56333;;;;;;;;
63329;63329;63329;65779;;;;;;;;
60386;60386;60386;65183;;;;;;;;
Köln;50667;50667;98693;;;;;;;;
06132;Keine Angabe;;69168;;;;;;;;
20457;20457;20457;74722;;;;;;;;
60486;60486;60486;58791;;;;;;;;
64283;64283;64283;47877;;;;;;;;
63329;63329;63329;70563;;;;;;;;
65189;65189;65189;63179;;;;;;;;
86899;86899;86899;60320;;;;;;;;
;Keine Angabe;;78727;;;;;;;;
64283;64283;64283;76829;;;;;;;;
61476;61476;61476;54294;;;;;;;;
35287;35287;35287;86157;;;;;;;;
60325;60325;60325;12359;;;;;;;;
8570;8570;8570;4582;;;;;;;;
84130;84130;84130;59846;;;;;;;;
64289;64289;64289;88255;;;;;;;;
Forchheim;91077;91077;63526;;;;;;;;
80809;80809;80809;67655;;;;;;;;
Frankfurt;Keine Angabe;;28207;;;;;;;;
15745;15745;15745;0;;;;;;;;
Metelen;Keine Angabe;;73235;;;;;;;;
64646;64646;64646;83115;;;;;;;;
63911;63911;63911;21337;;;;;;;;
;Keine Angabe;;35435;;;;;;;;
63911;63911;63911;63110;;;;;;;;
63911;63911;63911;97922;;;;;;;;
35116;35116;35116;42275;;;;;;;;
;Keine Angabe;;64658;;;;;;;;
64295;64295;64295;35037;;;;;;;;
64295;64295;64295;67061;;;;;;;;
60322;60322;60322;65817;;;;;;;;
41065;41065;41065;63505;;;;;;;;
35753;35753;35753;79288;;;;;;;;
60386;60386;60386;38112;;;;;;;;
Bonn;53111;53111;10115;;;;;;;;
57520;57520;57520;17166;;;;;;;;
57537;57537;57537;30855;;;;;;;;
60386;60386;60386;74889;;;;;;;;
74076;74076;74076;76571;;;;;;;;
70569;70569;70569;44139;;;;;;;;
Aachen;52062;52062;60311;;;;;;;;
80805;80805;80805;30827;;;;;;;;
64295;64295;64295;64331;;;;;;;;
Bad Iburg, Deuts;Keine Angabe;;22047;;;;;;;;
78592;78592;78592;;;;;;;;;
64295;64295;64295;;;;;;;;;
;Keine Angabe;;;;;;;;;;
-;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64625;64625;64625;;;;;;;;;
78592;78592;78592;;;;;;;;;
64295;64295;64295;;;;;;;;;
64295;64295;64295;;;;;;;;;
64287;64287;64287;;;;;;;;;
64295;64295;64295;;;;;;;;;
56068;56068;56068;;;;;;;;;
74343;74343;74343;;;;;;;;;
80805;80805;80805;;;;;;;;;
35753;35753;35753;;;;;;;;;
20357;20357;20357;;;;;;;;;
78592;78592;78592;;;;;;;;;
64342;64342;64342;;;;;;;;;
Frankfurt am Mai;Keine Angabe;;;;;;;;;;
71069;71069;71069;;;;;;;;;
70174;70174;70174;;;;;;;;;
60313;60313;60313;;;;;;;;;
88239;88239;88239;;;;;;;;;
80689;80689;80689;;;;;;;;;
99091;99091;99091;;;;;;;;;
88212;88212;88212;;;;;;;;;
77866;77866;77866;;;;;;;;;
10000;10000;10000;;;;;;;;;
51465;51465;51465;;;;;;;;;
88690;88690;88690;;;;;;;;;
64287;64287;64287;;;;;;;;;
64295;64295;64295;;;;;;;;;
64295;64295;64295;;;;;;;;;
56068;56068;56068;;;;;;;;;
57316;57316;57316;;;;;;;;;
71394;71394;71394;;;;;;;;;
71394;71394;71394;;;;;;;;;
61118;61118;61118;;;;;;;;;
88239;88239;88239;;;;;;;;;
35510;35510;35510;;;;;;;;;
86150;86150;86150;;;;;;;;;
50354;50354;50354;;;;;;;;;
;Keine Angabe;;;;;;;;;;
54550;54550;54550;;;;;;;;;
;Keine Angabe;;;;;;;;;;
80805;80805;80805;;;;;;;;;
60322;60322;60322;;;;;;;;;
Bonn;53111;53111;;;;;;;;;
86150;86150;86150;;;;;;;;;
76131;76131;76131;;;;;;;;;
19053;19053;19053;;;;;;;;;
71394;71394;71394;;;;;;;;;
34128;34128;34128;;;;;;;;;
78592;78592;78592;;;;;;;;;
Nümbrecht;Keine Angabe;;;;;;;;;;
92224;92224;92224;;;;;;;;;
85057;85057;85057;;;;;;;;;
91126 Schwabach;Keine Angabe;;;;;;;;;;
Adelsdorf;Keine Angabe;;;;;;;;;;
90429;90429;90429;;;;;;;;;
88239;88239;88239;;;;;;;;;
68159;68159;68159;;;;;;;;;
35510;35510;35510;;;;;;;;;
80539;80539;80539;;;;;;;;;
92345;92345;92345;;;;;;;;;
92345;92345;92345;;;;;;;;;
86150;86150;86150;;;;;;;;;
90559;90559;90559;;;;;;;;;
91224;91224;91224;;;;;;;;;
86150;86150;86150;;;;;;;;;
35390;35390;35390;;;;;;;;;
86150;86150;86150;;;;;;;;;
54550;54550;54550;;;;;;;;;
71394;71394;71394;;;;;;;;;
78592;78592;78592;;;;;;;;;
85057;85057;85057;;;;;;;;;
63263;63263;63263;;;;;;;;;
;Keine Angabe;;;;;;;;;;
34225;34225;34225;;;;;;;;;
54550;54550;54550;;;;;;;;;
35305;35305;35305;;;;;;;;;
80805;80805;80805;;;;;;;;;
